Collection_Num,BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
2498,5293,0,0.246575342,J,90,8_4,1.16,1,42,90,3022,3696,4.860273973,3.915068493,3022,3696
2499,5321,1,0.246575342,J,90,3_86,1.19,2,43,92,3453,1744,4.37260274,7.463013699,3453,1744
2500,5278,0,0.164383562,FL,90,8_1,0.68,1,46.5,90,1558,1744,9.098630137,7.150684932,1558,0
2501,5332,0,0.328767123,OFL,90,3_87,0.4,2,5,92,0,0,0,0,1605,4939
2502,5280,1,0.164383562,FL,90,8_3,1.48,1,50.1,90,3505,3005,3.621917808,4.249315068,1805,0
2503,5287,0,0.032876712,CH,90,8_4,1.54,1,57.1,90,1491,1604,9.471232877,8.2,1491,5008
2504,5287,0,0.465753425,OFL,90,8_15,1.55,1,57.1,92,1491,1604,9.471232877,8.2,1491,5008
2505,5283,1,3.438356164,A,90,8_28,0.45,1,59.1,116,1717,1533,7.38630137,9.367123288,1717,4954
2506,5283,1,0.02739726,CH,90,8_6,1.18,1,62,90,1717,1533,7.38630137,9.367123288,1717,4954
2507,5283,1,3.657534247,A,90,8_31,0.8,1,59.1,116,1717,1533,7.38630137,9.367123288,1717,4954
2508,5326,0,1.432876712,A,90,7_26,0.55,1,65,104,4935,3486,2.454794521,3.673972603,4935,4948
2509,5326,0,0.994520548,SA,90,7_30,0.51,1,66,103,4935,3486,2.454794521,3.673972603,4935,4948
2510,5449,0,0.328767123,OFL,90,8_7,0.41,1,67,92,3604,1533,3.504109589,9.512328767,3604,1533
2511,5288,0,0.038356164,CH,90,8_11,1.53,1,68,90,3606,1869,3.416438356,5.443835616,3606,1394
2512,5334,1,2.276712329,A,90,8_30,0.7,1,50.1,105,0,0,0,0,1401,1877
2513,5334,1,0.328767123,OFL,90,8_13,1.56,1,85,92,0,0,0,0,1401,1877
